SOURCE	TARGET	count
Neural crest cells	Lymphatic EC	36
cycling cells 2	SMC	78
cycling cells 2	NTS+ cells	49
cycling cells 2	Enteric neurons	69
cycling cells 2	cycling cells 1	69
cycling cells 2	uniform progenitor	76
cycling cells 2	mesoderm 2	66
cycling cells 2	early enterocyte 1	32
cycling cells 2	mesoderm 1	71
cycling cells 2	Neural crest cells	46
cycling cells 2	cycling cells 2	27
cycling cells 2	LGR5 stem	33
cycling cells 2	Goblet prog	46
cycling cells 2	early enterocyte 2	38
cycling cells 2	enteroendocrine	43
cycling cells 2	FOXL1 FLC	98
cycling cells 2	Erythroblasts	5
cycling cells 2	BEST4 enterocyte prog	40
cycling cells 2	enterocyte	46
cycling cells 2	pericyte	69
cycling cells 2	Venous EC	86
cycling cells 2	ICC	47
cycling cells 2	myofibroblast	91
cycling cells 2	immune cells	53
cycling cells 2	Arterial EC	76
cycling cells 2	WNT4 FLC	111
cycling cells 2	UPK3B Serosa	48
cycling cells 2	Lymphatic EC	53
LGR5 stem	SMC	91
LGR5 stem	NTS+ cells	39
LGR5 stem	Enteric neurons	65
LGR5 stem	cycling cells 1	50
LGR5 stem	uniform progenitor	52
LGR5 stem	mesoderm 2	90
LGR5 stem	early enterocyte 1	29
LGR5 stem	mesoderm 1	85
LGR5 stem	Neural crest cells	46
LGR5 stem	cycling cells 2	33
LGR5 stem	LGR5 stem	23
LGR5 stem	Goblet prog	43
LGR5 stem	early enterocyte 2	32
LGR5 stem	enteroendocrine	43
LGR5 stem	FOXL1 FLC	134
LGR5 stem	Erythroblasts	8
LGR5 stem	BEST4 enterocyte prog	40
LGR5 stem	enterocyte	48
LGR5 stem	pericyte	105
LGR5 stem	Venous EC	102
LGR5 stem	ICC	71
LGR5 stem	myofibroblast	103
LGR5 stem	immune cells	51
LGR5 stem	Arterial EC	92
LGR5 stem	WNT4 FLC	135
LGR5 stem	UPK3B Serosa	75
LGR5 stem	Lymphatic EC	62
Goblet prog	SMC	87
Goblet prog	NTS+ cells	55
Goblet prog	Enteric neurons	68
Goblet prog	cycling cells 1	60
Goblet prog	uniform progenitor	62
Goblet prog	mesoderm 2	85
Goblet prog	early enterocyte 1	27
Goblet prog	mesoderm 1	90
Goblet prog	Neural crest cells	49
Goblet prog	cycling cells 2	46
Goblet prog	LGR5 stem	43
Goblet prog	Goblet prog	22
Goblet prog	early enterocyte 2	32
